"Case Number","Date",,"Address","Charge","Charge Description",,
20140521002,"5/21/2014 12:03:00AM",,"600 ELWELL AV/E BESSEMER AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140521054,"5/21/2014","8:21:00AM","81 US 220 S/CREEK RIDGE RD EXIT FROM US 220 S S","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140521194,"5/21/2014","2:41:00PM","1499 GLENWOOD AV/W FLORIDA ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140521179,"5/21/2014","1:57:00PM","5210 W MARKET ST/WINOLA CT","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140518160,"5/18/2014 12:00:00AM",,"1059 SULLIVAN ST/CIRCLE DR","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140521143,"5/21/2014 12:52:00PM",,"1699 E CONE BLVD/ORANGE ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140519265,"5/19/2014 12:00:00AM",,"3599 N ELM ST/PISGAH CHURCH RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140521343,"5/21/2014","9:26:00PM","499 S BOOKER ST/CUNNINGHAM ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140522070,"5/22/2014","9:03:00AM","100 N ENGLISH ST/E MARKET ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140522079,"5/22/2014","9:37:00AM","399 S ENGLISH ST/APACHE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140522211,"5/22/2014","2:20:00PM","800 PEARSON ST/E LEE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140522161,"5/22/2014","1:06:00PM","1899 GLENSIDE DR/DODSON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140522300,"5/22/2014","5:47:00PM","199 COLLEGE RD/LINDLEY RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140521007,"5/21/2014 12:00:00AM",,"2241 MARTIN LUTHER KING JR DR","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140522304,"5/22/2014","6:10:00PM","2799 N CHURCH ST/ELECTRA DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140520305,"5/20/2014 12:00:00AM",,"4499 HILLTOP RD/FAIRFAX RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140522354,"5/22/2014 10:36:00PM",,"801 E MARKET ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
